SOLD DATE,Street,CITY,Zipcode,PRICE,Bedroom_x,Bathroom_x,sqft_x,Latitude,Longitude,Address,Price,Bedroom_y,Bathroom_y,sqft_y,Sold,latitude,longitude,City
August-16-2021,1810 Fatherland St,Nashville,37206.0,595000.0,3.0,1.5,1488.0,36.1727483,-86.7376102,,,,,,,,,
December-15-2020,201 Riverstone Ct,Nashville,37214.0,214900.0,2.0,2.0,1140.0,36.1716719,-86.6543456,,,,,,,,,
December-15-2020,201 Riverstone Ct,Nashville,37214.0,214900.0,2.0,2.0,1140.0,36.1716719,-86.6543456,,,,,,,,,
May-12-2021,3820 Augusta Dr,Nashville,37207.0,250000.0,4.0,2.0,2600.0,36.2202447,-86.8152283,,,,,,,,,
May-12-2021,3820 Augusta Dr,Nashville,37207.0,250000.0,4.0,2.0,2600.0,36.2202447,-86.8152283,,,,,,,,,
May-28-2021,505 Churchill Xing,Madison,37115.0,185000.0,2.0,2.0,1127.0,36.301862,-86.689103,,,,,,,,,
May-28-2021,505 Churchill Xing,Madison,37115.0,185000.0,2.0,2.0,1127.0,36.301862,-86.689103,,,,,,,,,
October-2-2021,329 Summit Ridge Cir,Nashville,37215.0,240000.0,2.0,2.5,1298.0,36.0936828,-86.8284879,,,,,,,,,
October-2-2021,329 Summit Ridge Cir,Nashville,37215.0,240000.0,2.0,2.5,1298.0,36.0936828,-86.8284879,,,,,,,,,
,5954 Temple Rd,Nashville,37221.0,374815.0,3.0,3.5,2124.0,36.041489,-86.951586,,,,,,,,,
,5954 Temple Rd,Nashville,37221.0,374815.0,3.0,3.5,2124.0,36.041489,-86.951586,,,,,,,,,
January-29-2021,5025 Ridge Hill Dr,Joelton,37080.0,305000.0,2.0,1.0,1088.0,36.2841957,-86.9287351,,,,,,,,,
January-29-2021,5025 Ridge Hill Dr,Joelton,37080.0,305000.0,2.0,1.0,1088.0,36.2841957,-86.9287351,,,,,,,,,
August-26-2021,2406 N 16th St,Nashville,37206.0,475000.0,3.0,2.0,2205.0,36.1935313,-86.7368636,,,,,,,,,
August-26-2021,2406 N 16th St,Nashville,37206.0,475000.0,3.0,2.0,2205.0,36.1935313,-86.7368636,,,,,,,,,
