id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24192163,All-Suite Retreat with Rooftop Deck & Pergola,106505883,TurnKey Vacation Rentals,,District 17,36.13223,-86.78011,Entire home/apt,70,2,17,2021-02-21,0.50,110,263
24209159,Upscale Convenient Townhouse,182504296,David & Valeria,,District 17,36.13729,-86.78897,Entire home/apt,347,3,3,2018-10-02,0.08,2,249
24223728,Private Room and Bath (Bring your air mattress!),100130904,Kaitlyn,,District 22,36.07301,-86.92784,Private room,30,1,6,2018-05-22,0.16,1,0
24242819,Nashville Downtown Riverfront Condo -Honky Tonks,31293644,Traci,,District 19,36.1748,-86.78161,Entire home/apt,139,2,56,2021-04-19,1.54,1,337
24245679,East Nashville 1920's Loft in quiet neighborhood,102302778,Amber,,District 7,36.21405,-86.72614,Entire home/apt,89,2,108,2021-04-18,2.96,3,136
24246244,Clean & Cozy Retreat at the Little Green Bungalow,4700813,Sarah,,District 7,36.2033,-86.73102,Entire home/apt,79,2,89,2021-04-11,2.66,1,233
24246989,Broadway Oasis!!,180795550,Adam,,District 19,36.16768,-86.78258,Entire home/apt,35,1,92,2019-04-28,2.49,2,0
24249762,Watch the City Light up from an Enormous Rooftop Couch,158629193,Guy And Itay,,District 21,36.15414,-86.81781,Entire home/apt,209,2,22,2021-04-19,0.61,14,246
24250323,Luxurious Townhouse in Up-And-Coming New Neighborhood,158629193,Guy And Itay,,District 21,36.15523,-86.81754,Entire home/apt,295,2,24,2021-03-29,0.66,14,246
24268565,Cute and Convenient East Nashville Cottage,49380545,Bethany,,District 5,36.19282,-86.76759,Private room,49,1,63,2021-02-14,2.37,2,0
24280277,Beautiful 2 Story Luxury Home Minutes To Downtown,183129583,Gavin,,District 21,36.16712,-86.81888,Entire home/apt,233,1,194,2021-04-14,5.25,1,1
24281604,Great apartment in midtown!,57392927,Jordan,,District 21,36.15184,-86.80476,Entire home/apt,175,4,9,2018-09-03,0.25,1,0
24283206,Fab 1-bdr Luxury condo near Grand Ole Opry.,133288905,Cherie,,District 15,36.21965,-86.70445,Private room,169,3,1,2019-04-29,0.04,3,0
24308669,Charming 2-bdr luxury resort condo near the Opry!,133288905,Cherie,,District 15,36.22113,-86.70561,Private room,112,3,0,,,3,8
24328999,Dine Under the Stars on a Townhouse Rooftop,15586733,Neal,,District 20,36.15556,-86.84878,Entire home/apt,166,2,67,2021-04-19,1.94,18,146
24347645,Room by the lake,25773101,Travis,,District 33,36.08013,-86.59789,Private room,54,1,154,2021-04-17,4.17,1,166
24349889,Quaint 3 Bedroom 1.5 Bath House to Yourself!!!,57451011,Stevens,,District 10,36.32295,-86.71701,Entire home/apt,80,3,38,2021-03-28,1.11,1,218
24356038,MEGA Nashville - 2 Units! 2 Rooftops! 6BR/5BA,158629193,Guy And Itay,,District 21,36.15791,-86.81593,Entire home/apt,770,2,96,2021-03-21,2.62,14,237
24370908,Meridian Street Corporate Rental,153919195,Dyer Management,,District 5,36.18462,-86.76775,Entire home/apt,80,30,4,2018-10-18,0.11,17,6
24391563,The Songwriter Room at The Big Bungalow BnB - Walkable to Downtown & 5 Points!,85360355,StayLocal,,District 6,36.16985,-86.7597,Private room,142,1,27,2019-10-27,0.81,76,110
24394672,The King Suite at The Big Bungalow BnB - Walkable!,85360355,StayLocal,,District 6,36.17203,-86.75941,Hotel room,185,2,17,2020-02-16,0.51,76,110
24395189,The Music City Room at The Big Bungalow BnB - Walkable to Downtown & 5 Points!,85360355,StayLocal,,District 6,36.16973,-86.75897,Private room,171,1,16,2020-02-16,0.45,76,110
24396244,Right at home in Nashville,184140863,John,,District 13,36.13493,-86.63661,Entire home/apt,350,3,43,2021-03-30,1.18,1,342
24401952,New High-End Home with Rooftop Deck: Near Downtown,106505883,TurnKey Vacation Rentals,,District 17,36.14576,-86.78533,Entire home/apt,200,2,8,2021-01-17,0.24,110,282
24406332,The Top Floor- an East Nashville charmer!,16621065,Cathy,,District 5,36.18994,-86.76442,Entire home/apt,108,1,43,2021-04-19,1.93,1,17
24419377,10 min to Broadway/ 2 private baths/East Nashville,129663177,Tom,,District 5,36.19071,-86.75792,Entire home/apt,143,1,186,2021-04-20,5.08,1,123
24444392,Newly Renovated Brick Ranch w/ Central Location!!!,57202971,Brent,,District 8,36.23301,-86.74599,Entire home/apt,113,28,76,2020-05-14,2.09,1,147
24464614,Music Themed Getaway Minutes from Downtown Nashville,184785078,Tyler And Jennifer,,District 24,36.12325,-86.81891,Entire home/apt,121,3,99,2020-09-08,2.75,1,6
24466315,PRIVATE furnished apartment,58089678,Vicki,,District 35,36.02234,-86.99577,Entire home/apt,39,91,0,,,1,90
24491267,The Holly House,22491739,Natalie,,District 6,36.17649,-86.74466,Entire home/apt,493,2,58,2020-03-01,1.61,1,162
24494851,The World House,1601928,Bradley,,District 21,36.16546,-86.83458,Entire home/apt,149,2,19,2021-03-30,0.53,1,24
24497645,Your home away from home in local East Nashville,8670025,Stephanie,,District 7,36.20171,-86.72622,Entire home/apt,292,1,50,2020-11-07,1.37,1,22
24514365,Gulch Studio • Central Location • Near Downtown!,171176713,Mercury,,District 19,36.15187,-86.78508,Entire home/apt,128,2,152,2021-04-12,4.20,11,126
24515023,1 Bedrm Loft! Centered in the Gulch!,171176713,Mercury,,District 19,36.15187,-86.78508,Entire home/apt,132,2,115,2021-04-11,3.18,11,146
24524708,Apt off Music Row close to Downtown! #303,49521731,Ashley,,District 17,36.14031,-86.79509,Entire home/apt,89,2,102,2021-01-01,2.81,20,0
24525103,Mins to Downtown w/ Pool: Na$hville Paradise Found,178293796,Studio I,,District 17,36.12666,-86.77852,Entire home/apt,87,2,85,2021-02-18,2.34,4,95
24543047,Soak Up the Soothing Vibe at a Downtown Waterfront Bolthole,117050297,Laurie,,District 19,36.17537,-86.78044,Entire home/apt,93,1,203,2021-04-11,5.61,1,347
24544069,Inglewood Inn-Metro Codes STRP Permit #:2018066110,134534891,John,,District 8,36.22912,-86.72961,Entire home/apt,118,2,34,2019-10-27,0.97,1,112
24574665,The Fiddle Fig House,31175732,Meredith,,District 20,36.15441,-86.88407,Private room,85,2,45,2021-04-04,1.24,1,174
24578571,Upscale Craftsman Home in East Nashville,16791205,Kaitlin,,District 6,36.19239,-86.74165,Entire home/apt,220,2,77,2021-02-28,2.13,1,259
24578894,NASHVILLE ✶ Huge 2 BR Lockoff ✶Opry✶ Music++,31870579,Kathy,,District 15,36.22103,-86.7046,Entire home/apt,186,2,11,2021-03-14,0.31,10,51
24579448,Newly Updated Downtown Nashville Riverfront Condo,176951851,Vicki,,District 19,36.17363,-86.78105,Entire home/apt,191,2,43,2021-04-10,1.22,1,247
24580553,New Luxury Townhome-Great East Nashville Location,143329904,Christopher,,District 5,36.18317,-86.75047,Entire home/apt,193,3,72,2020-03-09,2.42,1,38
24595844,Nashville vacation home with rooftop!,18335963,Nisha,,District 17,36.13585,-86.7868,Entire home/apt,363,2,75,2020-12-06,2.22,1,0
24623130,Stone Cottage E Nashville 3 miles from downtown,8694266,Nancy,,District 5,36.19708,-86.74488,Entire home/apt,76,2,97,2021-04-09,2.70,1,60
24625701,Private King Bedroom at King of the Hill Home,143796055,Alianna & Kenneth,,District 12,36.18735,-86.58983,Private room,55,29,28,2020-02-16,0.79,3,90
24627334,Private Queen Bedroom at The King of the Hill Home,143796055,Alianna & Kenneth,,District 12,36.18744,-86.59112,Private room,55,29,33,2020-03-21,0.94,3,90
