id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
41587531,BRAND SPANKIN' NEW RESORT ★ Studio Deluxe Suite,62926650,ResortShare3,,District 19,36.15601,-86.77508,Entire home/apt,330,2,0,,,3,177
41593808,Midtown Townhouse - Close to Vandy and Downtown!,193314358,Kelly,,District 21,36.14424,-86.82109,Entire home/apt,226,5,31,2021-06-14,1.77,1,117
41610694,Tentrr Signature Site - Whooping Crane Farm,211183368,Tentrr,,District 1,36.17336,-86.93152,Entire home/apt,113,1,5,2021-05-30,0.36,1,354
41611640,3 Bdrm Vacation Rental Broadway Downtown Music Row,101426897,Host Extraordinaires,,District 17,36.1458,-86.78647,Entire home/apt,488,2,15,2021-06-07,0.86,142,298
41613143,NashvilleVibe 1 ~ 4 Miles to Dwntwn ~ 4 Private Luxury Suites ~ Great for Groups ~ Double Garage,260899725,Kevin,,District 5,36.20302,-86.74264,Entire home/apt,282,3,18,2021-06-19,1.13,38,284
41615279,MEGA Home! *Sleeps 20* 2 Private Patios & Backyard,8185146,Laurie,,District 5,36.19588,-86.7734,Entire home/apt,875,2,10,2021-06-02,0.63,3,275
41622877,4 Bedrooms in East Nashville within mile Downtown!,328238371,Nashville,,District 5,36.17968,-86.77039,Entire home/apt,79,30,1,2021-06-07,1,1,340
41623685,~The Barkley~ Hillsboro/Vandy/Nashville/Walkable,26328303,Trey & Adrienne,,District 18,36.13417,-86.80316,Entire home/apt,448,2,8,2021-06-13,0.49,1,54
41633547,"3 Br/2 Ba in Hermitage, 15 miles to downtown!",51351938,Todd,,District 12,36.20305,-86.59761,Entire home/apt,213,3,9,2021-06-02,0.57,1,116
41633785,Luxury|Downtown! Broadway 2Bd/2ba!Pool/Parking!,255636174,LJ Rose,,District 19,36.15403,-86.77509,Entire home/apt,236,1,91,2021-06-10,5.22,10,267
41649194,Abode | Marathon Village | 5 Minutes From Downtown Nashville,328603084,Abode (Nashville),,District 19,36.16599,-86.80023,Entire home/apt,147,2,23,2021-05-29,1.33,4,355
41649511,Abode | Marathon Village | Nashville Skyline Views,328603084,Abode (Nashville),,District 19,36.16391,-86.80112,Entire home/apt,118,1,25,2021-06-07,1.51,4,351
41664836,Hidden Gem FREE PARKING 3 miles to Broadway!,28196034,Hey Yall Nashville,,District 21,36.17865,-86.81256,Entire home/apt,263,2,27,2021-06-06,2.32,21,113
41668788,East Nashville Master Suite,26024838,Nona & Todd,,District 7,36.20575,-86.72686,Private room,55,30,1,2020-10-09,0.11,1,339
41669364,East Nashville Bohemian Home with Loft Space!,49424680,Delani,,District 6,36.17811,-86.74849,Entire home/apt,205,1,38,2021-06-25,7.40,1,90
41682090,Southern Bungalow | City Privacy | 12+ Beds,6721823,Tyler And Josh,,District 20,36.15718,-86.87259,Entire home/apt,407,1,3,2020-03-16,0.18,2,298
