id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4857128,Cozy Green Hills apartment (1 mi from Lipscomb U.),24987037,Patrick,,District 25,36.09474,-86.79189,Entire home/apt,91,3,397,2021-07-05,5.37,1,109
4861360,Little Hollywood Gem East Nashville,25006117,Stephanie,,District 6,36.17808,-86.73524,Entire home/apt,190,2,54,2020-03-08,0.70,1,192
4878145,4BR/3.5BA Luxury home with pool,25092986,Reenie,,District 12,36.21325,-86.59431,Entire home/apt,521,3,19,2020-09-07,0.53,2,207
4917247,Entire Cozy Cottage/5 Points/E Nash,18167773,Emily,,District 6,36.17777,-86.74039,Entire home/apt,139,2,321,2021-06-27,4.09,2,290
4924659,Freshly Renovated Historic Suite,25366040,Todd,,District 24,36.1497,-86.84371,Entire home/apt,100,1,372,2021-06-25,9.70,1,296
4935632,Music/Photography Studio Live-In! Berry Hill Area!,25430263,Danny,,District 17,36.12435,-86.76407,Private room,42,30,262,2021-07-08,12.17,1,365
4949787,4BDRM/7QUEEN Artist's Home*Deck*Gated w/a Park,25467486,Erin,,District 17,36.12334,-86.76343,Entire home/apt,208,3,160,2021-06-24,2.56,1,288
4958707,The Ruby at Music Row,9596278,Jacob,,District 19,36.14595,-86.7877,Entire home/apt,109,1,566,2021-06-28,7.82,4,230
5014393,Sweet cottage on Nashville farm!,6216127,Terry Jo,,District 34,36.04394,-86.83424,Entire home/apt,138,90,73,2016-07-31,1.02,1,103
5039858,"PRIVATE bd/bth, Great Location, Off-Street Parking",25350815,Alexander,,District 7,36.19762,-86.73347,Private room,110,1,88,2021-07-10,1.16,1,337
5042356,VIEW! En Suite with Balcony! ONLY 3 Miles to DWTN,8540073,Juliette,,District 5,36.19563,-86.76534,Entire home/apt,103,2,108,2021-06-13,2.50,2,36
5061506,Well Appointed Craftsman Style Row Home in Nations,22933775,Lauren & Robert,,District 20,36.15814,-86.84145,Entire home/apt,273,2,158,2021-06-11,2.72,14,0
5070014,2BR - Sleeps 4 - Kid Friendly! Upstairs Suite,26179993,Marie,,District 15,36.17458,-86.68806,Private room,99,2,114,2021-07-04,2.41,1,323
5093371,"Charming room, 5 Points Nashville. private bathrm",4210445,Joy,,District 6,36.18683,-86.73881,Private room,56,2,347,2021-07-05,6.06,2,24
5093759,Location! Location! Location!,21018265,Denise,,District 19,36.17467,-86.78192,Entire home/apt,177,2,57,2021-05-06,0.81,1,308
5102074,No more new rentals allowed,26248043,Jason,,District 11,36.24147,-86.61309,Entire home/apt,2750,60,5,2015-08-16,0.06,1,363
5174212,Cozy East Nashville Cottage with Relaxed Southern Style,14318200,Julian,,District 5,36.20266,-86.74684,Entire home/apt,94,1,881,2021-06-28,45.18,1,284
5209891,"Hip, Cozy East Nashville Paradise. Pet friendly!",26952016,Brian,,District 7,36.22973,-86.71275,Entire home/apt,195,1,87,2021-06-03,1.18,2,250
5212573,Poplar Hollow Barn,26945569,Pam,,District 35,36.05609,-86.97052,Entire home/apt,110,2,225,2021-07-11,4.60,2,256
5217231,Beautiful Victorian in heart of 5 points/downtown,16087739,Lisa,,District 6,36.17429,-86.74939,Entire home/apt,325,1,111,2020-02-23,3.65,1,254
5261347,12 South Loft - Private Guesthouse,26604311,John & Lori,,District 17,36.11869,-86.7833,Entire home/apt,142,2,139,2021-07-05,1.88,1,152
5317695,2 Blocks from Music Row!,6855810,UrbanNashville,,District 17,36.13721,-86.79316,Entire home/apt,199,2,175,2021-07-05,5.55,56,145
5329979,Luxury Hillsboro Village Condo,27621511,Adam,,District 18,36.13634,-86.80317,Entire home/apt,137,30,132,2019-12-29,1.72,1,255
5334208,Period Cottage in the Foodie East Nashville Neighborhood,6233192,Michelle,,District 7,36.20404,-86.72695,Entire home/apt,175,30,83,2021-04-30,2.00,2,0
5397498,Spacious E Nashville 2nd Fl Suite,27981303,Yvonne,,District 6,36.18236,-86.73991,Private room,99,2,230,2021-07-11,3.58,1,212
5450001,Best Deal near downtown- Adorable!!,16805934,Rachael,,District 16,36.09931,-86.73938,Entire home/apt,129,2,55,2020-03-07,1.95,4,13
5480793,Cozy Lockeland Springs Private Loft,28422447,Greg,,District 6,36.17283,-86.7381,Entire home/apt,99,2,334,2021-06-29,5.75,1,316
5497835,4BR in East Nashville on Greenway,11279036,Kelly And Aron,,District 6,36.16798,-86.72635,Entire home/apt,140,2,22,2021-03-14,0.30,2,0
5523154,Fantastic Location! West End/Vanderbilt/Elliston,11513024,Monika,,District 21,36.14769,-86.80697,Entire home/apt,90,90,1,2018-04-05,0.03,3,147
5532667,Nashville Cottage at 5 Points,26060758,Alexa,,District 6,36.17887,-86.74927,Entire home/apt,153,1,372,2021-07-01,4.97,1,121
5557887,➥DT Riverfront Condo! 1 mi⇢Broadway*✧FREE PARKNG✧*,88959664,Julian,,District 19,36.17572,-86.78225,Entire home/apt,195,2,69,2021-07-05,2.68,13,286
5560170,Kooler Kendall,9154329,Melissa,,District 24,36.13491,-86.8636,Entire home/apt,342,3,32,2021-06-13,1.41,1,262
5570561,Stylish Ranch Retreat - Be Downtown in 15 minutes,733538,John Mark,,District 26,36.06131,-86.77083,Entire home/apt,237,3,5,2020-07-05,0.20,2,0
5582584,*WONDERFUL NEW 4 BEDROOM HOME. CLOSE TO DOWNTOWN*,25162776,Frances,,District 5,36.19573,-86.7631,Entire home/apt,367,2,38,2021-04-11,0.75,10,293
5590547,Hip East Nashville - Front Porch,124275854,Alexa,,District 6,36.17847,-86.74711,Entire home/apt,261,2,153,2021-07-05,3.18,3,118
5591141,Germantown - 1.7 mi to downtown,28988137,R.C. & Beth,,District 19,36.18102,-86.79417,Entire home/apt,194,1,293,2021-07-08,4.35,1,171
5593364,Private flat with a view!,28999686,Kelly,,District 6,36.17475,-86.73605,Entire home/apt,130,2,243,2021-06-12,4.16,1,182
5605938,Inviting East Nashville Home,26588108,Jennifer,,District 6,36.17211,-86.7495,Entire home/apt,412,2,15,2021-04-18,0.20,1,277
5612705,Room in Nashville,28835457,Adam,,District 17,36.13103,-86.75416,Private room,130,1,0,,,1,0
5622887,"NEW HOPE CT BY THE LAKE PARADISE RM
Nonsmokers plz",812128,Patricia And John,,District 12,36.16272,-86.58864,Private room,35,31,10,2021-05-01,0.14,7,98
5623567,SPACIOUS MASTER BEDROOM NEAR PERCY PRIEST LAKE  NS,812128,Patricia And John,,District 12,36.16453,-86.58652,Private room,45,31,6,2021-02-26,0.18,7,161
5685029,Stylish East Nashville Getaway,18115633,Nathan,,District 6,36.17277,-86.74586,Entire home/apt,415,2,85,2021-04-25,1.20,2,218
5717222,"Big cozy house w/pool, near airport",29640416,Mark,,District 13,36.14196,-86.6361,Entire home/apt,154,2,187,2021-07-08,187,1,215
5726670,12South Charmer. Guest Cottage ideal for ext. stay,10633841,Emily,,District 17,36.11806,-86.78812,Entire home/apt,65,30,153,2021-04-10,2.11,1,7
5756534,Loft Style Studio - CLOSE TO DOWNTOWN NASHVILLE,20691550,Cj,,District 16,36.11753,-86.7344,Private room,65,31,27,2018-03-11,0.62,1,179
5759335,Massive Palace Close to Downtown!,18071351,Daniel,,District 19,36.17161,-86.79353,Entire home/apt,825,1,39,2021-06-07,0.68,1,325
5761405,Amazing Master Suite -- Heart of East Nashville,5178185,Joel,,District 6,36.17064,-86.74668,Private room,271,1,51,2019-10-13,0.73,4,283
5761584,East Nashville Jewel,5178185,Joel,,District 6,36.17229,-86.7457,Private room,142,1,62,2021-07-08,1.60,4,278
5761616,Stay in Style Where the Musicians Live,5178185,Joel,,District 6,36.17111,-86.74583,Entire home/apt,456,1,205,2021-07-11,2.74,4,324
5767371,*FABULOUS NEW HOMES(S) CLOSE TO BROADWAY** 2,25162776,Frances,,District 5,36.19767,-86.76311,Entire home/apt,367,2,69,2021-06-20,1.12,10,299
5773891,Cute East Nashville Pad,29955861,Jim,,District 5,36.20005,-86.75456,Entire home/apt,112,2,251,2021-07-12,4.36,1,279
5794839,"Heidtke House, A Rare Find & Featured on TV!",13960675,John,,District 15,36.16825,-86.67063,Entire home/apt,251,3,113,2021-07-10,1.97,2,303
5795538,"Updated Tudor Home with Backyard Deck, Office, and Kid Space",30066988,Keavy,,District 5,36.18721,-86.75254,Entire home/apt,279,2,200,2021-06-20,2.80,1,246
5796020,Best East Nashville Location - 3000ft2 Classic,30070119,Matt And Shara,,District 6,36.17995,-86.74676,Entire home/apt,335,3,17,2017-07-09,0.23,1,0
5808960,"Luxurious Private Studio, 10 min to downtown",30139823,Jessica,,District 25,36.10236,-86.78609,Entire home/apt,135,2,293,2021-07-09,4.86,1,151
5834344,Bright on Broadway!,7894194,Heirbnb,,District 19,36.1499,-86.79692,Entire home/apt,98,1,660,2021-07-05,8.69,18,298
5857984,Nashtown Special,23752681,Lydia,,District 26,36.07784,-86.73486,Entire home/apt,514,2,29,2020-08-03,0.59,2,0
5859347,Comfy home in East Nashville,13224315,Emma & David,,District 6,36.18091,-86.7171,Entire home/apt,220,3,89,2021-06-11,26.18,1,22
5864046,East Nashville Eco Home,5819048,John & Jenn,,District 5,36.18733,-86.77153,Entire home/apt,214,2,302,2020-11-01,5.05,1,0
5880314,East Nash Peaceful Abode- 1st Floor,6254287,Steph,,District 6,36.18394,-86.73241,Private room,78,2,345,2021-07-07,16.51,1,2
5889177,Suite min from downtown,1694822,Ric,,District 35,36.06076,-86.92773,Private room,60,2,72,2021-01-01,0.99,1,261
5920152,"$4M - 9,000ft Belle Meade Estate w/ Pool",30745101,Marc,,District 23,36.11971,-86.85387,Entire home/apt,1400,3,120,2021-01-01,2.04,1,319
5930642,Wyndham Nashville- 1 bdrm near Gaylord Palms,30787515,Brooke,,District 15,36.21685,-86.70283,Entire home/apt,143,2,30,2019-09-02,0.47,6,12
5933237,Charming renovated bungalow,14083317,Merrilyn,,District 6,36.18803,-86.74077,Entire home/apt,178,2,223,2021-05-16,6.08,2,29
5964509,Breathtaking Views of Nashville-Close to Downtown,30962240,Xenos,,District 21,36.15434,-86.82442,Entire home/apt,454,2,247,2021-07-09,9.39,16,287
5970743,"Dolly's Tennessee Whiskey! Trendy Loft! Walk to Broadway, Free Parking",30995912,Jessica Joy,,District 19,36.15495,-86.77043,Entire home/apt,379,3,332,2021-06-27,7.48,11,334
5984997,The Launch Pad,19288905,Sandy,,District 17,36.14257,-86.76219,Entire home/apt,136,1,555,2021-07-08,9.22,1,261
5989908,Hillisboro Treehouse:  Stay 30+ Days Only,22327607,Gina,,District 18,36.12884,-86.81159,Entire home/apt,55,30,109,2019-03-15,1.46,1,0
6001003,Hotel-Style Room 1-Block from Lower Broadway!,16246720,Music City Guest House,,District 19,36.1647,-86.77615,Entire home/apt,163,1,74,2020-11-27,1.36,15,0
6099376,Cute Nashville Craftsman Apt-Minutes to Downtown!,31649105,Matthew,,District 5,36.19126,-86.75808,Entire home/apt,70,2,156,2020-06-04,3.30,1,0
6113766,Lovely East Nashville Private Suite,31720018,Kristyn,,District 6,36.1791,-86.73852,Entire home/apt,109,2,328,2021-07-10,5.20,1,34
6133502,Cozy apartment by Old Hickory lake,30612185,Chad,,District 11,36.24871,-86.63949,Entire home/apt,71,2,1,2015-06-16,0.01,1,362
6139494,3 Bedroom Home in popular 12South! • Near Downtown,6855810,UrbanNashville,,District 17,36.12524,-86.7869,Entire home/apt,214,2,178,2021-06-04,2.85,56,5
6162409,Mt Juliet: 1BR Happy Hollow Cabin,27950672,Thomm And Eva,,District 33,36.12439,-86.54606,Entire home/apt,101,5,394,2021-07-08,11.38,1,252
6198601,Sunny treetop loft walk to 5 points,9012461,Geoff,,District 6,36.17075,-86.74203,Entire home/apt,160,1,1,2021-05-16,0.52,2,0
6207147,Casa Lola - Hip Victorian,32119480,Lori,,District 6,36.17348,-86.75443,Private room,84,2,183,2020-09-07,4.87,1,63
6210434,Stroll to East Nashville Restaurants from Cozy Guest Suite,12122804,Cass And Martin,,District 6,36.18111,-86.73229,Entire home/apt,106,1,445,2021-06-23,7.67,2,159
6213651,The Stewart House - Half House,15586733,Neal,,District 18,36.12473,-86.79341,Entire home/apt,162,2,253,2021-06-24,3.74,15,199
6223197,Home (3BR) Close to everything EAST Nashville,32272323,Jason,,District 5,36.1814,-86.75342,Entire home/apt,196,3,176,2021-07-05,2.74,1,127
6225946,Musician's Abode - East Nashville,9012461,Geoff,,District 6,36.17026,-86.74325,Entire home/apt,145,1,237,2021-07-01,7.20,2,322
6227141,Rollin On The River,32298087,Ruth,,District 7,36.20503,-86.69924,Entire home/apt,95,2,156,2021-07-12,2.41,1,135
6227228,Charming 2 Bedroom near City Center,6427723,Bryan And Alison,,District 6,36.16333,-86.75233,Entire home/apt,158,2,134,2021-05-31,1.82,1,0
6235842,"Clean, Modern Five Points Apartment",96028937,David,,District 5,36.17756,-86.7556,Entire home/apt,177,2,318,2021-07-08,8.88,2,109
6238680,West End Condo- Mins from Downtown,16805934,Rachael,,District 18,36.13973,-86.81516,Private room,200,30,0,,,4,365
6238833,Perfect Home in Germantown Hot Spot!!,16805934,Rachael,,District 19,36.17949,-86.7934,Entire home/apt,300,2,67,2020-06-24,1.03,4,218
