id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14747041,Remodeled Apart. within 15 minutes of main events,91875095,Tony. &  Wilma,,District 16,36.12418,-86.7232,Private room,81,1,291,2021-08-22,4.89,1,136,27,
14747730,Retreat on the Lake and Near Airport and Downtown,47061664,Rashelle,,District 29,36.09448,-86.6144,Private room,49,30,3,2021-07-03,0.05,3,221,1,
14757352,2 Bed/1 Bath Guest Apt in Beautiful Berry Hill!,59393197,John,,District 17,36.12296,-86.76364,Entire home/apt,120,2,142,2021-08-15,2.37,1,328,29,
14757749,Hermitage Country Townhome 15 minutes from Nash,88809125,Dave,,District 11,36.20298,-86.59086,Entire home/apt,90,2,4,2017-10-27,0.08,1,0,0,
14769070,Bright and Fun Rolling Hill Retreat close to Lower Broadway,70256049,Brian,,District 26,36.07427,-86.73668,Entire home/apt,419,30,44,2020-03-08,0.82,6,326,0,
14800176,Red Lawstah,25438232,Ali,,District 9,36.26831,-86.69536,Private room,115,1,0,,,1,87,0,
14823505,Private Room with Private Bath in South Nashville,68006231,Courtrina,,District 32,36.03264,-86.66997,Private room,58,2,41,2019-06-08,1.15,1,345,0,
14852812,♪Quiet Spot One Block From Great Eateries/Bars♪,25631341,Seth,,District 5,36.18925,-86.74781,Entire home/apt,100,1,525,2021-08-09,20.35,2,329,99,
14855802,"Central, Safe, & Convenient!",7170086,Ryan,,District 18,36.13546,-86.80035,Private room,43,2,46,2017-07-29,0.78,1,0,0,
14868058,The Pennington- 3 Bedroom with 6 Beds AND a Fenced Yard!,6675690,Isabeau And Shaun,,District 7,36.20445,-86.72506,Entire home/apt,286,2,133,2021-08-15,2.24,66,334,35,
14893517,"NashVegas Getaway Large, Lit Private Deck by Lake",32275188,Terri,,District 13,36.12889,-86.63239,Entire home/apt,162,2,218,2021-08-15,3.86,2,242,38,
14902319,Sweet Cottage Bedroom Hideaway,7187459,Sara,,District 5,36.19486,-86.74896,Private room,37,1,160,2020-03-04,2.90,3,0,0,
14968777,Hot Tub Huge 4BR 9Beds 4BA Quiet Area 10min Dwntwn,9805687,Brent,,District 16,36.10799,-86.73251,Entire home/apt,216,2,201,2021-08-03,3.38,9,266,44,
