SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-4-2021,Condo/Co-op,210 Old Hickory Blvd #76,Nashville,TN,37221,180000,2,1.5,Belle Forest,1147,435,1969,,157,268,Sold,,,https://www.redfin.com/TN/Nashville/210-Old-Hickory-Blvd-37221/unit-76/home/104135380,REALTRACS,2252533,N,Y,36.0803888,-86.9182389
PAST SALE,December-18-2020,Townhouse,1103 Woodbury Falls Ct,Nashville,TN,37221,298900,3,3.0,Woodbury,1977,871,2010,,151,150,Sold,,,https://www.redfin.com/TN/Nashville/1103-Woodbury-Falls-Ct-37221/home/108046140,REALTRACS,2205668,N,Y,36.088537,-86.921953
PAST SALE,August-15-2021,Condo/Co-op,1315 Litton Ave,Nashville,TN,37216,580000,3,2.0,1315 Litton Avenue Townhom,1861,1742,2017,,312,,Sold,,,https://www.redfin.com/TN/Nashville/1315-Litton-Ave-37216/home/143812475,REALTRACS,2257381,N,Y,36.2020674,-86.7334376
PAST SALE,December-21-2020,Single Family Residential,8109 Poplarwood Ln,Nashville,TN,37221,625000,4,3.0,Poplarwood,3684,10018,1998,,170,,Sold,,,https://www.redfin.com/TN/Nashville/8109-Poplarwood-Ln-37221/home/103954612,REALTRACS,2210836,N,Y,36.0550632,-86.9736319
PAST SALE,October-3-2019,Single Family Residential,3904 Ivy Dr,Nashville,TN,37216,399900,2,2.0,Brush Hill/ Riverwood,1578,14810,1953,,253,,Sold,,,https://www.redfin.com/TN/Nashville/3904-Ivy-Dr-37216/home/108001959,REALTRACS,2075739,N,Y,36.2092417,-86.7041221
PAST SALE,November-27-2019,Single Family Residential,828 Walden Way,Hermitage,TN,37076,390000,4,3.0,Walden Woods,2600,,2002,,150,20,Sold,,,https://www.redfin.com/TN/Hermitage/828-Walden-Way-37076/home/68791275,REALTRACS,2078771,N,Y,36.196726,-86.5890727
PAST SALE,July-11-2020,Single Family Residential,700 Hite St,Nashville,TN,37209,280000,2,2.0,Urbandale Nations,960,6098,1950,,292,,Sold,,,https://www.redfin.com/TN/Nashville/700-Hite-St-37209/home/60850851,REALTRACS,2158406,N,Y,36.1553905,-86.8559312
PAST SALE,March-18-2019,Townhouse,210 Brushy Creek Ln,Nashville,TN,37211,295500,3,2.5,Creekside Of Brentwood,1800,,2005,,164,95,Sold,,,https://www.redfin.com/TN/Nashville/210-Brushy-Creek-Ln-37211/home/108139495,REALTRACS,1990442,N,Y,36.0378873,-86.7457429
PAST SALE,July-30-2020,Single Family Residential,3805 Dahlgreen Ct,Antioch,TN,37013,382500,4,2.5,Barnes Bend Estates,3130,10454,2007,,122,29,Sold,,,https://www.redfin.com/TN/Antioch/3805-Dahlgreen-Ct-37013/home/108106627,REALTRACS,2155817,N,Y,36.021594,-86.699646
PAST SALE,May-5-2020,Single Family Residential,719 Bowfield Ct,Antioch,TN,37013,237500,5,2.0,Neighbors of Antioch,2155,10890,1968,,110,,Sold,,,https://www.redfin.com/TN/Antioch/719-Bowfield-Ct-37013/home/87816958,REALTRACS,2128665,N,Y,36.0667207,-86.667306
